,tweet,,Score
0,RT @lifeadvice_4you: when you think your dog is barking at nothing he's actually barking at climate change,,1
1,"RT @aldatweets: “Key climate-change and energy transition puzzles are ... in the realm of the social sciences. However, these are precisely…",,1
2,RT @MarkFriesen08: Not only can we not send refugees back because “climate change”. How many “climate refugees” will be created because of…,,-1
3,RT @spikedonline: “It’s ridiculous to say the criticism of Meghan Markle is driven by racism. People went off Harry and Meghan for one simp…,,0
4,"@TyotoRiffle @MesiaArte @PerspicaciousXY @RedAce2024 @KathyCastorFL @JMB5girlDaddy Yes, what qualifies NASA to speak on CLIMATE CHANGE HOAX?",,-1
5,RT @lifeadvice_4you: when you think your dog is barking at nothing he's actually barking at climate change,,0
6,RT @TomTSEC: Poll Finds Most People Would Rather Be Annihilated By Giant Tidal Wave Than Continue To Be Lectured By Climate Change Activist…,,-1
7,"RT @BernieSanders: Making health care a right.
A living wage for all.
Reproductive rights.
Immigration reform.
Criminal justice reform.
Add…",,0
8,RT @RepDanCrenshaw: The American people should know: there’s a 3rd option when it comes to addressing climate change. It’s not the absurd G…,,1
9,RT @lifeadvice_4you: when you think your dog is barking at nothing he's actually barking at climate change,,0
10,"RT @1RossGittins: If we pretend it's not happening, climate change will go away and coal will stay king https://t.co/LDBopMw2N8 #ausecon #a…",,1
11,"RT @BernieSanders: Making health care a right.
A living wage for all.
Reproductive rights.
Immigration reform.
Criminal justice reform.
Add…",,0
12,RT @lifeadvice_4you: when you think your dog is barking at nothing he's actually barking at climate change,,0
13,"How is the world gonna end? 
By nuclear war? By a pandemic? By climate change? Find out on the next episode https://t.co/cprpCVKHNI",,1
14,"I don't deny climate change exists. We've been tracking the climate for 100 years now; we know it fluctuates, it ch… https://t.co/6oTBs7fvhb",,-1
15,"“Tim Eggar, chairman of the UK’s Oil and Gas Authority (OGA), sent shockwaves through the industry on Wednesday (15… https://t.co/N7JG9YRpxW",,0
16,"RT @abbeludwig: Climate activist Greta Thunberg: ""Pretty much nothing has been done""
She's right! 
Another big reason to make sure we get r…",,2
